#    L    TT             EE             TE          
   345    0.26252E+04    0.17243E+02    0.95775E+02
   346    0.25985E+04    0.17406E+02    0.94493E+02
   347    0.25721E+04    0.17565E+02    0.93175E+02
   348    0.25462E+04    0.17723E+02    0.91825E+02
   349    0.25205E+04    0.17879E+02    0.90445E+02
   350    0.24952E+04    0.18032E+02    0.89043E+02
   351    0.24704E+04    0.18183E+02    0.87609E+02
   352    0.24457E+04    0.18332E+02    0.86146E+02
   353    0.24215E+04    0.18478E+02    0.84667E+02
   354    0.23976E+04    0.18622E+02    0.83149E+02
   355    0.23742E+04    0.18764E+02    0.81609E+02
   356    0.23511E+04    0.18903E+02    0.80054E+02
   357    0.23284E+04    0.19040E+02    0.78468E+02
   358    0.23061E+04    0.19173E+02    0.76867E+02
   359    0.22842E+04    0.19303E+02    0.75235E+02
   360    0.22627E+04    0.19431E+02    0.73584E+02
   361    0.22415E+04    0.19556E+02    0.71910E+02
   362    0.22208E+04    0.19679E+02    0.70214E+02
   363    0.22005E+04    0.19798E+02    0.68501E+02
   364    0.21806E+04    0.19914E+02    0.66765E+02
   365    0.21611E+04    0.20027E+02    0.65014E+02
   366    0.21421E+04    0.20137E+02    0.63243E+02
   367    0.21235E+04    0.20243E+02    0.61455E+02
   368    0.21052E+04    0.20346E+02    0.59652E+02
   369    0.20875E+04    0.20447E+02    0.57832E+02
   370    0.20702E+04    0.20544E+02    0.55999E+02
   371    0.20532E+04    0.20636E+02    0.54150E+02
   372    0.20367E+04    0.20726E+02    0.52289E+02
   373    0.20207E+04    0.20813E+02    0.50414E+02
   374    0.20051E+04    0.20896E+02    0.48528E+02
   375    0.19899E+04    0.20975E+02    0.46632E+02
   376    0.19752E+04    0.21052E+02    0.44725E+02
   377    0.19609E+04    0.21123E+02    0.42809E+02
   378    0.19470E+04    0.21192E+02    0.40884E+02
   379    0.19336E+04    0.21257E+02    0.38951E+02
   380    0.19207E+04    0.21319E+02    0.37011E+02
   381    0.19082E+04    0.21374E+02    0.35065E+02
   382    0.18960E+04    0.21428E+02    0.33114E+02
   383    0.18844E+04    0.21477E+02    0.31157E+02
   384    0.18733E+04    0.21522E+02    0.29197E+02
   385    0.18625E+04    0.21565E+02    0.27234E+02
   386    0.18523E+04    0.21603E+02    0.25269E+02
   387    0.18424E+04    0.21636E+02    0.23302E+02
   388    0.18329E+04    0.21666E+02    0.21335E+02
   389    0.18240E+04    0.21690E+02    0.19368E+02
   390    0.18154E+04    0.21713E+02    0.17403E+02
   391    0.18074E+04    0.21730E+02    0.15438E+02
   392    0.17997E+04    0.21746E+02    0.13477E+02
   393    0.17925E+04    0.21756E+02    0.11519E+02
   394    0.17857E+04    0.21762E+02    0.95660E+01
   395    0.17793E+04    0.21764E+02    0.76167E+01
   396    0.17734E+04    0.21762E+02    0.56746E+01
   397    0.17678E+04    0.21757E+02    0.37383E+01
   398    0.17627E+04    0.21746E+02    0.18093E+01
   399    0.17581E+04    0.21732E+02   -0.11157E+00
   400    0.17538E+04    0.21715E+02   -0.20234E+01
   401    0.17499E+04    0.21692E+02   -0.39256E+01
   402    0.17465E+04    0.21665E+02   -0.58173E+01
   403    0.17435E+04    0.21636E+02   -0.76977E+01
   404    0.17409E+04    0.21601E+02   -0.95655E+01
   405    0.17387E+04    0.21562E+02   -0.11421E+02
   406    0.17368E+04    0.21520E+02   -0.13263E+02
   407    0.17354E+04    0.21474E+02   -0.15092E+02
   408    0.17344E+04    0.21424E+02   -0.16903E+02
   409    0.17338E+04    0.21370E+02   -0.18700E+02
   410    0.17335E+04    0.21312E+02   -0.20481E+02
   411    0.17337E+04    0.21250E+02   -0.22244E+02
   412    0.17341E+04    0.21185E+02   -0.23989E+02
   413    0.17350E+04    0.21116E+02   -0.25716E+02
   414    0.17361E+04    0.21043E+02   -0.27425E+02
   415    0.17377E+04    0.20967E+02   -0.29112E+02
   416    0.17397E+04    0.20887E+02   -0.30779E+02
   417    0.17419E+04    0.20803E+02   -0.32427E+02
   418    0.17445E+04    0.20714E+02   -0.34051E+02
   419    0.17474E+04    0.20623E+02   -0.35652E+02
   420    0.17507E+04    0.20529E+02   -0.37231E+02
   421    0.17544E+04    0.20432E+02   -0.38786E+02
   422    0.17583E+04    0.20330E+02   -0.40317E+02
   423    0.17625E+04    0.20225E+02   -0.41823E+02
   424    0.17670E+04    0.20116E+02   -0.43304E+02
   425    0.17719E+04    0.20004E+02   -0.44758E+02
   426    0.17771E+04    0.19890E+02   -0.46186E+02
   427    0.17825E+04    0.19771E+02   -0.47587E+02
   428    0.17882E+04    0.19650E+02   -0.48960E+02
   429    0.17941E+04    0.19526E+02   -0.50305E+02
   430    0.18004E+04    0.19399E+02   -0.51621E+02
   431    0.18069E+04    0.19269E+02   -0.52909E+02
   432    0.18136E+04    0.19136E+02   -0.54167E+02
   433    0.18207E+04    0.19001E+02   -0.55394E+02
   434    0.18279E+04    0.18862E+02   -0.56592E+02
   435    0.18354E+04    0.18722E+02   -0.57759E+02
   436    0.18431E+04    0.18579E+02   -0.58896E+02
   437    0.18511E+04    0.18433E+02   -0.59999E+02
   438    0.18592E+04    0.18284E+02   -0.61070E+02
   439    0.18677E+04    0.18134E+02   -0.62111E+02
   440    0.18763E+04    0.17981E+02   -0.63117E+02
   441    0.18851E+04    0.17826E+02   -0.64091E+02
   442    0.18940E+04    0.17668E+02   -0.65032E+02
   443    0.19032E+04    0.17509E+02   -0.65939E+02
   444    0.19126E+04    0.17348E+02   -0.66811E+02
   445    0.19221E+04    0.17184E+02   -0.67649E+02
   446    0.19317E+04    0.17020E+02   -0.68452E+02
   447    0.19415E+04    0.16854E+02   -0.69221E+02
   448    0.19514E+04    0.16685E+02   -0.69955E+02
   449    0.19615E+04    0.16515E+02   -0.70653E+02
   450    0.19717E+04    0.16344E+02   -0.71317E+02
   451    0.19821E+04    0.16171E+02   -0.71944E+02
   452    0.19925E+04    0.15998E+02   -0.72537E+02
   453    0.20032E+04    0.15823E+02   -0.73094E+02
   454    0.20138E+04    0.15647E+02   -0.73616E+02
   455    0.20246E+04    0.15471E+02   -0.74103E+02
   456    0.20355E+04    0.15293E+02   -0.74548E+02
   457    0.20464E+04    0.15114E+02   -0.74966E+02
   458    0.20575E+04    0.14935E+02   -0.75338E+02
   459    0.20686E+04    0.14756E+02   -0.75680E+02
   460    0.20798E+04    0.14576E+02   -0.75984E+02
   461    0.20910E+04    0.14395E+02   -0.76254E+02
   462    0.21023E+04    0.14214E+02   -0.76481E+02
   463    0.21135E+04    0.14033E+02   -0.76686E+02
   464    0.21248E+04    0.13853E+02   -0.76838E+02
   465    0.21361E+04    0.13672E+02   -0.76967E+02
   466    0.21475E+04    0.13491E+02   -0.77050E+02
   467    0.21589E+04    0.13310E+02   -0.77103E+02
   468    0.21702E+04    0.13130E+02   -0.77119E+02
   469    0.21816E+04    0.12950E+02   -0.77103E+02
   470    0.21930E+04    0.12771E+02   -0.77050E+02
   471    0.22042E+04    0.12593E+02   -0.76959E+02
   472    0.22156E+04    0.12415E+02   -0.76838E+02
   473    0.22269E+04    0.12239E+02   -0.76678E+02
   474    0.22382E+04    0.12063E+02   -0.76488E+02
   475    0.22494E+04    0.11888E+02   -0.76261E+02
   476    0.22606E+04    0.11715E+02   -0.75997E+02
   477    0.22716E+04    0.11543E+02   -0.75708E+02
   478    0.22827E+04    0.11371E+02   -0.75374E+02
   479    0.22937E+04    0.11202E+02   -0.75019E+02
   480    0.23046E+04    0.11034E+02   -0.74626E+02
   481    0.23154E+04    0.10868E+02   -0.74197E+02
   482    0.23262E+04    0.10704E+02   -0.73738E+02
   483    0.23368E+04    0.10542E+02   -0.73252E+02
   484    0.23473E+04    0.10381E+02   -0.72732E+02
   485    0.23578E+04    0.10223E+02   -0.72180E+02
   486    0.23682E+04    0.10067E+02   -0.71599E+02
   487    0.23784E+04    0.99138E+01   -0.70987E+02
   488    0.23885E+04    0.97621E+01   -0.70346E+02
   489    0.23984E+04    0.96133E+01   -0.69675E+02
   490    0.24084E+04    0.94676E+01   -0.68975E+02
   491    0.24180E+04    0.93241E+01   -0.68247E+02
   492    0.24276E+04    0.91837E+01   -0.67493E+02
   493    0.24370E+04    0.90449E+01   -0.66709E+02
   494    0.24463E+04    0.89106E+01   -0.65900E+02
   495    0.24554E+04    0.87785E+01   -0.65065E+02
   496    0.24643E+04    0.86503E+01   -0.64204E+02
   497    0.24731E+04    0.85251E+01   -0.63317E+02
   498    0.24817E+04    0.84023E+01   -0.62407E+02
   499    0.24902E+04    0.82839E+01   -0.61471E+02
   500    0.24985E+04    0.81679E+01   -0.60513E+02
   501    0.25065E+04    0.80564E+01   -0.59533E+02
   502    0.25145E+04    0.79487E+01   -0.58529E+02
   503    0.25222E+04    0.78441E+01   -0.57505E+02
   504    0.25297E+04    0.77433E+01   -0.56458E+02
   505    0.25371E+04    0.76471E+01   -0.55393E+02
   506    0.25442E+04    0.75548E+01   -0.54307E+02
   507    0.25512E+04    0.74661E+01   -0.53203E+02
