#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.122206E+00   0.206071E+07   0.205144E+07   0.497464E+01  -0.361803E+01   0.000000E+00   0.205926E+07   0.205926E+07   0.205926E+07  -0.484779E-01   0.106997E+07   0.106984E+07   0.343699E+00
   0.127571E+00   0.197515E+07   0.196726E+07   0.437594E+01  -0.318250E+01   0.000000E+00   0.197391E+07   0.197391E+07   0.197391E+07  -0.464686E-01   0.102562E+07   0.102551E+07   0.294256E+00
   0.132935E+00   0.188554E+07   0.187834E+07   0.384720E+01  -0.279794E+01   0.000000E+00   0.188441E+07   0.188441E+07   0.188441E+07  -0.443617E-01   0.979116E+06   0.979011E+06   0.265191E+00
   0.138300E+00   0.179057E+07   0.178341E+07   0.337536E+01  -0.245483E+01   0.000000E+00   0.178944E+07   0.178944E+07   0.178944E+07  -0.421261E-01   0.929774E+06   0.929670E+06   0.251721E+00
   0.143664E+00   0.169275E+07   0.168521E+07   0.295684E+01  -0.215052E+01   0.000000E+00   0.169156E+07   0.169156E+07   0.169156E+07  -0.398218E-01   0.878918E+06   0.878812E+06   0.247133E+00
   0.149028E+00   0.159657E+07   0.158851E+07   0.259137E+01  -0.188480E+01   0.000000E+00   0.159531E+07   0.159531E+07   0.159531E+07  -0.375558E-01   0.828906E+06   0.828797E+06   0.244749E+00
   0.154393E+00   0.150687E+07   0.149839E+07   0.227851E+01  -0.165730E+01   0.000000E+00   0.150554E+07   0.150554E+07   0.150554E+07  -0.354425E-01   0.782264E+06   0.782153E+06   0.239473E+00
   0.159757E+00   0.142778E+07   0.141918E+07   0.201621E+01  -0.146655E+01   0.000000E+00   0.142643E+07   0.142643E+07   0.142643E+07  -0.335802E-01   0.741161E+06   0.741051E+06   0.228654E+00
   0.165121E+00   0.136159E+07   0.135325E+07   0.179981E+01  -0.130914E+01   0.000000E+00   0.136028E+07   0.136028E+07   0.136028E+07  -0.320229E-01   0.706789E+06   0.706684E+06   0.212130E+00
   0.170486E+00   0.130773E+07   0.129997E+07   0.162161E+01  -0.117951E+01   0.000000E+00   0.130651E+07   0.130651E+07   0.130651E+07  -0.307571E-01   0.678852E+06   0.678754E+06   0.191624E+00
   0.175850E+00   0.126326E+07   0.125628E+07   0.147248E+01  -0.107100E+01   0.000000E+00   0.126217E+07   0.126217E+07   0.126217E+07  -0.297132E-01   0.655810E+06   0.655720E+06   0.169840E+00
   0.181215E+00   0.122441E+07   0.121824E+07   0.134407E+01  -0.977577E+00   0.000000E+00   0.122344E+07   0.122344E+07   0.122344E+07  -0.288015E-01   0.635687E+06   0.635606E+06   0.149552E+00
   0.186579E+00   0.118766E+07   0.118219E+07   0.122995E+01  -0.894546E+00   0.000000E+00   0.118680E+07   0.118680E+07   0.118680E+07  -0.279390E-01   0.616649E+06   0.616575E+06   0.132862E+00
   0.191943E+00   0.115021E+07   0.114523E+07   0.112557E+01  -0.818621E+00   0.000000E+00   0.114943E+07   0.114943E+07   0.114943E+07  -0.270592E-01   0.597230E+06   0.597160E+06   0.120771E+00
   0.197308E+00   0.111042E+07   0.110567E+07   0.102836E+01  -0.747916E+00   0.000000E+00   0.110967E+07   0.110967E+07   0.110967E+07  -0.261232E-01   0.576572E+06   0.576506E+06   0.113127E+00
   0.202672E+00   0.106824E+07   0.106352E+07   0.937598E+00  -0.681914E+00   0.000000E+00   0.106750E+07   0.106750E+07   0.106750E+07  -0.251305E-01   0.554663E+06   0.554596E+06   0.108895E+00
   0.208037E+00   0.102503E+07   0.102019E+07   0.853816E+00  -0.620993E+00   0.000000E+00   0.102427E+07   0.102427E+07   0.102427E+07  -0.241127E-01   0.532199E+06   0.532133E+06   0.106577E+00
   0.213401E+00   0.982680E+06   0.977689E+06   0.777850E+00  -0.565756E+00   0.000000E+00   0.981896E+06   0.981896E+06   0.981896E+06  -0.231152E-01   0.510183E+06   0.510116E+06   0.104662E+00
   0.218765E+00   0.943004E+06   0.937912E+06   0.710241E+00  -0.516592E+00   0.000000E+00   0.942204E+06   0.942204E+06   0.942204E+06  -0.221808E-01   0.489560E+06   0.489494E+06   0.101985E+00
   0.224130E+00   0.907320E+06   0.902238E+06   0.651019E+00  -0.473523E+00   0.000000E+00   0.906522E+06   0.906522E+06   0.906522E+06  -0.213408E-01   0.471021E+06   0.470955E+06   0.979308E-01
   0.229494E+00   0.876213E+06   0.871270E+06   0.599647E+00  -0.436157E+00   0.000000E+00   0.875436E+06   0.875436E+06   0.875436E+06  -0.206090E-01   0.454869E+06   0.454805E+06   0.924644E-01
   0.234859E+00   0.849433E+06   0.844741E+06   0.555081E+00  -0.403738E+00   0.000000E+00   0.848696E+06   0.848696E+06   0.848696E+06  -0.199795E-01   0.440975E+06   0.440914E+06   0.860110E-01
   0.240223E+00   0.826070E+06   0.821695E+06   0.515998E+00  -0.375305E+00   0.000000E+00   0.825383E+06   0.825383E+06   0.825383E+06  -0.194307E-01   0.428861E+06   0.428804E+06   0.792471E-01
