#           k/h    P           
    0.19930E+01    0.13020E+02
    0.20333E+01    0.12405E+02
    0.20744E+01    0.11818E+02
    0.21163E+01    0.11258E+02
    0.21590E+01    0.10724E+02
    0.22026E+01    0.10215E+02
    0.22471E+01    0.97295E+01
    0.22925E+01    0.92665E+01
    0.23388E+01    0.88251E+01
    0.23861E+01    0.84042E+01
    0.24343E+01    0.80030E+01
    0.24835E+01    0.76205E+01
    0.25336E+01    0.72560E+01
    0.25848E+01    0.69085E+01
    0.26370E+01    0.65772E+01
    0.26903E+01    0.62616E+01
    0.27447E+01    0.59608E+01
    0.28001E+01    0.56741E+01
    0.28567E+01    0.54010E+01
    0.29144E+01    0.51407E+01
    0.29733E+01    0.48927E+01
    0.30333E+01    0.46565E+01
    0.30946E+01    0.44315E+01
    0.31571E+01    0.42171E+01
    0.32209E+01    0.40129E+01
    0.32860E+01    0.38184E+01
    0.33523E+01    0.36331E+01
    0.34201E+01    0.34567E+01
    0.34892E+01    0.32887E+01
    0.35596E+01    0.31287E+01
    0.36316E+01    0.29764E+01
    0.37049E+01    0.28313E+01
    0.37798E+01    0.26932E+01
    0.38561E+01    0.25617E+01
    0.39340E+01    0.24365E+01
    0.40135E+01    0.23174E+01
    0.40946E+01    0.22039E+01
    0.41773E+01    0.20960E+01
    0.42617E+01    0.19932E+01
    0.43478E+01    0.18954E+01
    0.44356E+01    0.18023E+01
    0.45252E+01    0.17137E+01
    0.46166E+01    0.16294E+01
    0.47099E+01    0.15492E+01
    0.48050E+01    0.14729E+01
    0.49021E+01    0.14002E+01
    0.50011E+01    0.13311E+01
    0.51021E+01    0.12654E+01
    0.52052E+01    0.12028E+01
    0.53104E+01    0.11433E+01
    0.54176E+01    0.10867E+01
    0.55271E+01    0.10329E+01
    0.56387E+01    0.98169E+00
    0.57526E+01    0.93299E+00
    0.58689E+01    0.88666E+00
    0.59874E+01    0.84261E+00
    0.61084E+01    0.80071E+00
    0.62318E+01    0.76086E+00
    0.63577E+01    0.72298E+00
    0.64861E+01    0.68695E+00
    0.66171E+01    0.65269E+00
    0.67508E+01    0.62012E+00
    0.68872E+01    0.58916E+00
    0.70263E+01    0.55972E+00
    0.71682E+01    0.53173E+00
    0.73130E+01    0.50512E+00
    0.74608E+01    0.47983E+00
    0.76115E+01    0.45579E+00
    0.77653E+01    0.43294E+00
    0.79221E+01    0.41121E+00
    0.80822E+01    0.39057E+00
    0.82454E+01    0.37095E+00
    0.84120E+01    0.35230E+00
