#           k/h    P           
    0.62318E+01    0.98827E+00
    0.63577E+01    0.93935E+00
    0.64861E+01    0.89281E+00
    0.66171E+01    0.84854E+00
    0.67508E+01    0.80644E+00
    0.68872E+01    0.76640E+00
    0.70263E+01    0.72831E+00
    0.71682E+01    0.69210E+00
    0.73130E+01    0.65766E+00
    0.74608E+01    0.62491E+00
    0.76115E+01    0.59377E+00
    0.77653E+01    0.56415E+00
    0.79221E+01    0.53600E+00
    0.80822E+01    0.50923E+00
    0.82454E+01    0.48379E+00
    0.84120E+01    0.45959E+00
    0.85819E+01    0.43660E+00
    0.87553E+01    0.41473E+00
    0.89322E+01    0.39395E+00
    0.91126E+01    0.37420E+00
    0.92967E+01    0.35542E+00
    0.94845E+01    0.33758E+00
    0.96761E+01    0.32062E+00
    0.98716E+01    0.30450E+00
    0.10071E+02    0.28918E+00
    0.10274E+02    0.27463E+00
    0.10482E+02    0.26080E+00
    0.10694E+02    0.24765E+00
    0.10910E+02    0.23516E+00
    0.11130E+02    0.22330E+00
    0.11355E+02    0.21202E+00
    0.11584E+02    0.20131E+00
    0.11818E+02    0.19113E+00
    0.12057E+02    0.18146E+00
    0.12301E+02    0.17228E+00
    0.12549E+02    0.16356E+00
    0.12803E+02    0.15527E+00
    0.13061E+02    0.14739E+00
    0.13325E+02    0.13992E+00
    0.13594E+02    0.13281E+00
    0.13869E+02    0.12607E+00
    0.14149E+02    0.11966E+00
    0.14435E+02    0.11358E+00
    0.14727E+02    0.10780E+00
    0.15024E+02    0.10231E+00
    0.15328E+02    0.97100E-01
    0.15637E+02    0.92151E-01
    0.15953E+02    0.87453E-01
    0.16275E+02    0.82991E-01
    0.16604E+02    0.78754E-01
    0.16940E+02    0.74732E-01
    0.17282E+02    0.70913E-01
    0.17631E+02    0.67287E-01
    0.17987E+02    0.63845E-01
    0.18351E+02    0.60577E-01
    0.18721E+02    0.57474E-01
    0.19099E+02    0.54529E-01
    0.19485E+02    0.51734E-01
    0.19879E+02    0.49080E-01
    0.20280E+02    0.46561E-01
    0.20690E+02    0.44170E-01
    0.21108E+02    0.41901E-01
    0.21535E+02    0.39748E-01
    0.21970E+02    0.37704E-01
    0.22413E+02    0.35764E-01
    0.22866E+02    0.33923E-01
    0.23328E+02    0.32176E-01
    0.23799E+02    0.30518E-01
    0.24280E+02    0.28945E-01
    0.24771E+02    0.27452E-01
    0.25271E+02    0.26036E-01
    0.25782E+02    0.24691E-01
    0.26302E+02    0.23416E-01
    0.26834E+02    0.22205E-01
    0.27376E+02    0.21057E-01
    0.27929E+02    0.19967E-01
    0.28493E+02    0.18933E-01
    0.29069E+02    0.17952E-01
    0.29656E+02    0.17021E-01
    0.30255E+02    0.16138E-01
    0.30866E+02    0.15301E-01
    0.31490E+02    0.14506E-01
    0.32126E+02    0.13753E-01
    0.32775E+02    0.13038E-01
    0.33437E+02    0.12361E-01
    0.34112E+02    0.11719E-01
    0.34801E+02    0.11109E-01
