#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.133426E+00   0.177636E+07   0.176988E+07  -0.278616E+01  -0.278715E+01   0.000000E+00   0.177528E+07   0.177528E+07   0.177528E+07  -0.435547E-01   0.910286E+06   0.910254E+06   0.796098E-01
   0.137394E+00   0.170863E+07   0.170210E+07  -0.252729E+01  -0.252819E+01   0.000000E+00   0.170754E+07   0.170754E+07   0.170754E+07  -0.418927E-01   0.875552E+06   0.875518E+06   0.826383E-01
   0.141362E+00   0.163870E+07   0.163190E+07  -0.228958E+01  -0.229039E+01   0.000000E+00   0.163757E+07   0.163757E+07   0.163757E+07  -0.401760E-01   0.839674E+06   0.839636E+06   0.897635E-01
   0.145331E+00   0.156843E+07   0.156124E+07  -0.207323E+01  -0.207396E+01   0.000000E+00   0.156723E+07   0.156723E+07   0.156723E+07  -0.384503E-01   0.803607E+06   0.803565E+06   0.981601E-01
   0.149299E+00   0.150015E+07   0.149257E+07  -0.187884E+01  -0.187950E+01   0.000000E+00   0.149888E+07   0.149888E+07   0.149888E+07  -0.367735E-01   0.768564E+06   0.768517E+06   0.105386E+00
   0.153267E+00   0.143623E+07   0.142836E+07  -0.170674E+01  -0.170734E+01   0.000000E+00   0.143491E+07   0.143491E+07   0.143491E+07  -0.352041E-01   0.735765E+06   0.735714E+06   0.109663E+00
   0.157235E+00   0.137849E+07   0.137050E+07  -0.155641E+01  -0.155696E+01   0.000000E+00   0.137716E+07   0.137716E+07   0.137716E+07  -0.337871E-01   0.706150E+06   0.706098E+06   0.110017E+00
   0.161204E+00   0.132783E+07   0.131992E+07  -0.142627E+01  -0.142678E+01   0.000000E+00   0.132651E+07   0.132651E+07   0.132651E+07  -0.325445E-01   0.680179E+06   0.680127E+06   0.106281E+00
   0.165172E+00   0.128417E+07   0.127654E+07  -0.131390E+01  -0.131436E+01   0.000000E+00   0.128290E+07   0.128290E+07   0.128290E+07  -0.314746E-01   0.657818E+06   0.657769E+06   0.989825E-01
   0.169140E+00   0.124679E+07   0.123960E+07  -0.121653E+01  -0.121696E+01   0.000000E+00   0.124559E+07   0.124559E+07   0.124559E+07  -0.305593E-01   0.638689E+06   0.638644E+06   0.891354E-01
   0.173108E+00   0.121458E+07   0.120793E+07  -0.113143E+01  -0.113183E+01   0.000000E+00   0.121347E+07   0.121347E+07   0.121347E+07  -0.297711E-01   0.622216E+06   0.622175E+06   0.780072E-01
   0.177077E+00   0.118617E+07   0.118011E+07  -0.105605E+01  -0.105643E+01   0.000000E+00   0.118516E+07   0.118516E+07   0.118516E+07  -0.290766E-01   0.607698E+06   0.607662E+06   0.668877E-01
   0.181045E+00   0.116002E+07   0.115453E+07  -0.988051E+00  -0.988400E+00   0.000000E+00   0.115911E+07   0.115911E+07   0.115911E+07  -0.284374E-01   0.594340E+06   0.594309E+06   0.568979E-01
   0.185013E+00   0.113458E+07   0.112957E+07  -0.925416E+00  -0.925743E+00   0.000000E+00   0.113375E+07   0.113375E+07   0.113375E+07  -0.278153E-01   0.581337E+06   0.581310E+06   0.488532E-01
   0.188981E+00   0.110856E+07   0.110392E+07  -0.866649E+00  -0.866955E+00   0.000000E+00   0.110779E+07   0.110779E+07   0.110779E+07  -0.271785E-01   0.568027E+06   0.568002E+06   0.431900E-01
   0.192950E+00   0.108120E+07   0.107679E+07  -0.810860E+00  -0.811147E+00   0.000000E+00   0.108047E+07   0.108047E+07   0.108047E+07  -0.265081E-01   0.554016E+06   0.553993E+06   0.399581E-01
   0.196918E+00   0.105231E+07   0.104800E+07  -0.757706E+00  -0.757974E+00   0.000000E+00   0.105159E+07   0.105159E+07   0.105159E+07  -0.257997E-01   0.539212E+06   0.539189E+06   0.388718E-01
   0.200886E+00   0.102214E+07   0.101782E+07  -0.707176E+00  -0.707426E+00   0.000000E+00   0.102142E+07   0.102142E+07   0.102142E+07  -0.250594E-01   0.523738E+06   0.523714E+06   0.394025E-01
   0.204854E+00   0.991194E+06   0.986790E+06  -0.659437E+00  -0.659670E+00   0.000000E+00   0.990460E+06   0.990460E+06   0.990460E+06  -0.242999E-01   0.507865E+06   0.507840E+06   0.408931E-01
   0.208823E+00   0.960196E+06   0.955672E+06  -0.614743E+00  -0.614960E+00   0.000000E+00   0.959442E+06   0.959442E+06   0.959442E+06  -0.235389E-01   0.491961E+06   0.491934E+06   0.426707E-01
   0.221475E+00   0.870551E+06   0.865823E+06  -0.495438E+00  -0.495613E+00   0.000000E+00   0.869763E+06   0.869763E+06   0.869763E+06  -0.213387E-01   0.445978E+06   0.445949E+06   0.444424E-01
   0.234894E+00   0.802137E+06   0.797900E+06  -0.405843E+00  -0.405987E+00   0.000000E+00   0.801431E+06   0.801431E+06   0.801431E+06  -0.196623E-01   0.410940E+06   0.410914E+06   0.363389E-01
   0.249125E+00   0.748548E+06   0.745109E+06  -0.336728E+00  -0.336847E+00   0.000000E+00   0.747975E+06   0.747975E+06   0.747975E+06  -0.183508E-01   0.383529E+06   0.383510E+06   0.258049E-01
   0.264219E+00   0.690987E+06   0.687876E+06  -0.276339E+00  -0.276437E+00   0.000000E+00   0.690469E+06   0.690469E+06   0.690469E+06  -0.169399E-01   0.354043E+06   0.354025E+06   0.222093E-01
   0.280228E+00   0.627991E+06   0.624829E+06  -0.223254E+00  -0.223333E+00   0.000000E+00   0.627464E+06   0.627464E+06   0.627464E+06  -0.153942E-01   0.321737E+06   0.321718E+06   0.226445E-01
   0.297206E+00   0.574836E+06   0.571900E+06  -0.181673E+00  -0.181738E+00   0.000000E+00   0.574347E+06   0.574347E+06   0.574347E+06  -0.140910E-01   0.294501E+06   0.294483E+06   0.196817E-01
   0.315213E+00   0.531985E+06   0.529487E+06  -0.149479E+00  -0.149531E+00   0.000000E+00   0.531569E+06   0.531569E+06   0.531569E+06  -0.130415E-01   0.272566E+06   0.272552E+06   0.151023E-01
   0.334312E+00   0.487607E+06   0.485283E+06  -0.121801E+00  -0.121844E+00   0.000000E+00   0.487220E+06   0.487220E+06   0.487220E+06  -0.119534E-01   0.249826E+06   0.249812E+06   0.135016E-01
   0.354567E+00   0.444348E+06   0.442123E+06  -0.986726E-01  -0.987075E-01   0.000000E+00   0.443977E+06   0.443977E+06   0.443977E+06  -0.108925E-01   0.227653E+06   0.227640E+06   0.124359E-01
   0.376049E+00   0.408429E+06   0.406463E+06  -0.806322E-01  -0.806607E-01   0.000000E+00   0.408102E+06   0.408102E+06   0.408102E+06  -0.100123E-01   0.209257E+06   0.209246E+06   0.101136E-01
   0.398834E+00   0.374070E+06   0.372270E+06  -0.656524E-01  -0.656757E-01   0.000000E+00   0.373770E+06   0.373770E+06   0.373770E+06  -0.917004E-02   0.191653E+06   0.191643E+06   0.877375E-02
   0.422998E+00   0.341309E+06   0.339631E+06  -0.532532E-01  -0.532720E-01   0.000000E+00   0.341029E+06   0.341029E+06   0.341029E+06  -0.836679E-02   0.174865E+06   0.174855E+06   0.777840E-02
   0.448627E+00   0.312698E+06   0.311193E+06  -0.433747E-01  -0.433901E-01   0.000000E+00   0.312448E+06   0.312448E+06   0.312448E+06  -0.766557E-02   0.160210E+06   0.160201E+06   0.650623E-02
   0.475808E+00   0.285436E+06   0.284046E+06  -0.351984E-01  -0.352109E-01   0.000000E+00   0.285204E+06   0.285204E+06   0.285204E+06  -0.699719E-02   0.146241E+06   0.146233E+06   0.570428E-02
   0.504636E+00   0.260741E+06   0.259477E+06  -0.285846E-01  -0.285947E-01   0.000000E+00   0.260531E+06   0.260531E+06   0.260531E+06  -0.639184E-02   0.133589E+06   0.133582E+06   0.487491E-02
   0.535211E+00   0.238022E+06   0.236868E+06  -0.231977E-01  -0.232059E-01   0.000000E+00   0.237830E+06   0.237830E+06   0.237830E+06  -0.583489E-02   0.121949E+06   0.121942E+06   0.420178E-02
   0.567639E+00   0.217127E+06   0.216074E+06  -0.188126E-01  -0.188193E-01   0.000000E+00   0.216952E+06   0.216952E+06   0.216952E+06  -0.532268E-02   0.111244E+06   0.111237E+06   0.361307E-02
   0.602031E+00   0.198009E+06   0.197049E+06  -0.152520E-01  -0.152574E-01   0.000000E+00   0.197849E+06   0.197849E+06   0.197849E+06  -0.485402E-02   0.101449E+06   0.101443E+06   0.310594E-02
   0.638507E+00   0.180471E+06   0.179596E+06  -0.123582E-01  -0.123626E-01   0.000000E+00   0.180325E+06   0.180325E+06   0.180325E+06  -0.442409E-02   0.924631E+05   0.924580E+05   0.266750E-02
   0.891108E+00   0.105830E+06   0.105317E+06  -0.372072E-02  -0.372204E-02   0.000000E+00   0.105744E+06   0.105744E+06   0.105744E+06  -0.259433E-02   0.542212E+05   0.542182E+05   0.112077E-02
   0.124364E+01   0.612801E+05   0.609832E+05  -0.110614E-02  -0.110653E-02   0.000000E+00   0.612306E+05   0.612306E+05   0.612306E+05  -0.150223E-02   0.313965E+05   0.313947E+05   0.465540E-03
   0.173564E+01   0.351010E+05   0.349310E+05  -0.325296E-03  -0.325411E-03   0.000000E+00   0.350727E+05   0.350727E+05   0.350727E+05  -0.860471E-03   0.179838E+05   0.179828E+05   0.191743E-03
   0.242228E+01   0.199194E+05   0.198229E+05  -0.947778E-04  -0.948114E-04   0.000000E+00   0.199033E+05   0.199033E+05   0.199033E+05  -0.488307E-03   0.102056E+05   0.102050E+05   0.785732E-04
   0.338057E+01   0.112133E+05   0.111590E+05  -0.273926E-04  -0.274023E-04   0.000000E+00   0.112042E+05   0.112042E+05   0.112042E+05  -0.274884E-03   0.574505E+04   0.574473E+04   0.321913E-04
