#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.183392E+00   0.994995E+06   0.990491E+06   0.642462E+00  -0.115153E+01   0.000000E+00   0.994184E+06   0.994184E+06   0.994184E+06  -0.221056E-01   0.459803E+06   0.459746E+06   0.104141E+00
   0.188224E+00   0.956595E+06   0.952073E+06   0.586330E+00  -0.105094E+01   0.000000E+00   0.955781E+06   0.955781E+06   0.955781E+06  -0.212517E-01   0.442042E+06   0.441985E+06   0.100883E+00
   0.193056E+00   0.916980E+06   0.912317E+06   0.534217E+00  -0.957565E+00   0.000000E+00   0.916140E+06   0.916140E+06   0.916140E+06  -0.203703E-01   0.423709E+06   0.423652E+06   0.992259E-01
   0.197888E+00   0.878030E+06   0.873199E+06   0.486799E+00  -0.872602E+00   0.000000E+00   0.877160E+06   0.877160E+06   0.877160E+06  -0.195036E-01   0.405682E+06   0.405624E+06   0.977710E-01
   0.202720E+00   0.841582E+06   0.836640E+06   0.444572E+00  -0.796934E+00   0.000000E+00   0.840693E+06   0.840693E+06   0.840693E+06  -0.186927E-01   0.388816E+06   0.388758E+06   0.954648E-01
   0.207552E+00   0.809151E+06   0.804212E+06   0.407747E+00  -0.730934E+00   0.000000E+00   0.808262E+06   0.808262E+06   0.808262E+06  -0.179716E-01   0.373817E+06   0.373760E+06   0.917770E-01
   0.212384E+00   0.781456E+06   0.776650E+06   0.376073E+00  -0.674155E+00   0.000000E+00   0.780591E+06   0.780591E+06   0.780591E+06  -0.173564E-01   0.361019E+06   0.360964E+06   0.867054E-01
   0.217216E+00   0.758207E+06   0.753649E+06   0.348844E+00  -0.625335E+00   0.000000E+00   0.757387E+06   0.757387E+06   0.757387E+06  -0.168404E-01   0.350288E+06   0.350235E+06   0.806558E-01
   0.222048E+00   0.738383E+06   0.734139E+06   0.325121E+00  -0.582794E+00   0.000000E+00   0.737619E+06   0.737619E+06   0.737619E+06  -0.164009E-01   0.341145E+06   0.341095E+06   0.742625E-01
   0.226880E+00   0.720646E+06   0.716730E+06   0.303963E+00  -0.544853E+00   0.000000E+00   0.719941E+06   0.719941E+06   0.719941E+06  -0.160078E-01   0.332968E+06   0.332922E+06   0.681914E-01
